문제,해설
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:310px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/05/18/0x46BBCE4CF54411ED941955162F51C9CB.jpg"" data-width=""56px, 310px""></p>",
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:267px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/04/29/0x514B2358060A11EFB5430AC920CAEA7D.jpg"" data-width=""118px, 267px""></p>",
"<p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,2200,1000;;50` rm `m"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  50 \rm m "">\(\displaystyle 50 \rm m \)</span>와 <span data-mathinfo=""86,1000,2725,1000;;100` rm `m"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  100 \rm m "">\(\displaystyle 100 \rm m \)</span> 달리기 중 기록이 더 빠른 속도로 좋아지고 있는 종목은 어느 것일까요?</p><p class=""para0"" style=""text-align:right;color:black;""><span data-mathinfo=""78,1000,3255,1195;;{BOX{~~~~}} ``rmm"" class=""itexmath itexboxevt_parent"" contenteditable=""false"" data-latex=""\displaystyle  { \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \mathstrut } } \rm m "">\(\displaystyle { \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \mathstrut } } \rm m \)</span> 달리기</p>","<p class=""para0"" style=""text-align:left;color:black;"">꺾은선그래프에서 선의 기울기가 더 많이 기울어진 것은 <span data-mathinfo=""86,1000,2200,1000;;50` rm `m"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  50 \rm m "">\(\displaystyle 50 \rm m \)</span> 달리기입니다.</p>"
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:276px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/02/07/0x53C24C4AC58E11EEB88D2A2021CAEA7D.jpg"" data-width=""183px, 276px""></p>",
"<p class=""para0"" style=""text-align:left;color:black;"">□ 안에 알맞은 수를 써넣으세요.</p><div class=""para0"" style=""text-align:center;color:black;""><div class=""itex_normal_box"" style=""width: 282px;""><p class=""para0"" style=""text-align:left;color:black;"">나영이네 모둠 학생들은 평균 <span data-mathinfo=""78,1000,1105,1195;;box~~"" class=""itexmath itexboxevt_parent"" contenteditable=""false"" data-latex=""\displaystyle  \class{itexboxevt}{} \boxed { \,\, \,\, \mathstrut } "">\(\displaystyle \class{itexboxevt}{} \boxed { \,\, \,\, \mathstrut } \)</span>권의 공책을 가지고 있습니다.</p></div></div>","<p class=""para0"" style=""text-align:left;color:black;"">평균을 <span data-mathinfo=""86,1000,525,975;;7"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  7 "">\(\displaystyle 7 \)</span>권으로 예상한 후 <span data-mathinfo=""86,1000,525,975;;7"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  7 "">\(\displaystyle 7 \)</span>, <span data-mathinfo=""86,1000,2740,1000;;(5,~9)"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  (5, \,\, 9) "">\(\displaystyle (5, \,\, 9) \)</span>, <span data-mathinfo=""86,1000,2740,1000;;(8,~6)"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  (8, \,\, 6) "">\(\displaystyle (8, \,\, 6) \)</span>으로 수를 옮기고 짝 지어 자료의 값을 고르게 하면 대표적으로 한 학생이 <span data-mathinfo=""86,1000,525,975;;7"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  7 "">\(\displaystyle 7 \)</span>권의 공책을 가지고 있다고 말할 수 있습니다.</p>"
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:456px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/05/31/0xC79CB51CFF4E11ED8EDB13612F51C9CB.png"" data-width=""282px, 456px""></p>",
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:387px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/04/29/0xC49F697A060C11EF9A6B55C920CAEA7D.png"" data-width=""236px, 387px""></p>",
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:348px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/05/18/0xAC4526AAF54411EDA17363162F51C9CB.png"" data-width=""120px, 348px""></p>",
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:374px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/01/04/0xD3EA23B0AAAA11EEBE0696DC20CAEA7D.jpg"" data-width=""240px, 374px""></p>",
"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:446px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/07/04/0x1D370B821A0F11EE86E47E7B2F51C9CB.png"" data-width=""278px, 446px""></p>",
